fips,state,year,month,civil_noninstitutionalpop,laborforce,percentlaborforce,totalemploy,peremploy,totalunemploy,unemployrate
21,Kentucky,1976,2,"2,465,000","1,488,084",60.4,"1,404,872",57,"83,212",5.6
22,Louisiana,1976,2,"2,678,000","1,509,283",56.4,"1,415,595",52.9,"93,688",6.2
23,Maine,1976,2,"766,000","475,304",62.1,"433,313",56.6,"41,991",8.8
24,Maryland,1976,2,"2,958,000","1,903,063",64.3,"1,780,689",60.2,"122,374",6.4
25,Massachusetts,1976,2,"4,198,000","2,713,547",64.6,"2,427,526",57.8,"286,021",10.5
26,Michigan,1976,2,"6,424,000","3,947,776",61.5,"3,554,040",55.3,"393,736",10
27,Minnesota,1976,2,"2,793,000","1,828,387",65.5,"1,716,077",61.4,"112,310",6.1
28,Mississippi,1976,2,"1,644,000","957,642",58.3,"892,977",54.3,"64,665",6.8
29,Missouri,1976,2,"3,469,000","2,079,844",60,"1,956,431",56.4,"123,413",5.9
30,Montana,1976,2,"532,000","327,028",61.5,"307,938",57.9,"19,090",5.8
31,Nebraska,1976,2,"1,096,000","715,110",65.2,"691,120",63.1,"23,990",3.4
32,Nevada,1976,2,"454,000","320,436",70.6,"291,428",64.2,"29,008",9.1
33,New Hampshire,1976,2,"595,000","389,963",65.5,"363,118",61,"26,845",6.9
34,New Jersey,1976,2,"5,363,000","3,271,875",61,"2,938,387",54.8,"333,488",10.2
35,New Mexico,1976,2,"795,000","473,222",59.5,"431,165",54.2,"42,057",8.9
36,New York,1976,2,"13,202,000","7,685,144",58.2,"6,893,069",52.2,"792,075",10.3
51000,New York city,1976,2,"5,692,000","3,114,687",54.7,"2,769,985",48.7,"344,702",11.1
37,North Carolina,1976,2,"3,905,000","2,593,218",66.4,"2,421,164",62,"172,054",6.6
38,North Dakota,1976,2,"443,000","274,743",62,"265,843",60,"8,900",3.2
39,Ohio,1976,2,"7,706,000","4,756,653",61.7,"4,367,074",56.7,"389,579",8.2
40,Oklahoma,1976,2,"2,003,000","1,179,172",58.9,"1,108,348",55.3,"70,824",6
41,Oregon,1976,2,"1,720,000","1,071,618",62.3,"965,651",56.1,"105,967",9.9
42,Pennsylvania,1976,2,"8,780,000","5,102,370",58.1,"4,691,628",53.4,"410,742",8.1
44,Rhode Island,1976,2,"692,000","434,454",62.8,"399,028",57.7,"35,426",8.2
45,South Carolina,1976,2,"1,988,000","1,292,814",65,"1,192,936",60,"99,878",7.7
46,South Dakota,1976,2,"478,000","308,795",64.6,"298,827",62.5,"9,968",3.2
47,Tennessee,1976,2,"3,084,000","1,808,922",58.7,"1,699,274",55.1,"109,648",6.1
48,Texas,1976,2,"8,844,000","5,599,820",63.3,"5,271,131",59.6,"328,689",5.9
49,Utah,1976,2,"826,000","517,481",62.6,"486,818",58.9,"30,663",5.9
50,Vermont,1976,2,"340,000","212,959",62.6,"194,314",57.2,"18,645",8.8
51,Virginia,1976,2,"3,543,000","2,325,275",65.6,"2,186,971",61.7,"138,304",5.9
53,Washington,1976,2,"2,604,000","1,577,986",60.6,"1,440,415",55.3,"137,571",8.7
54,West Virginia,1976,2,"1,355,000","703,897",51.9,"648,386",47.9,"55,511",7.9
55,Wisconsin,1976,2,"3,248,000","2,120,231",65.3,"1,996,089",61.5,"124,142",5.9
56,Wyoming,1976,2,"271,000","174,747",64.5,"167,431",61.8,"7,316",4.2
1,Alabama,1976,3,"2,615,000","1,490,111",57,"1,391,987",53.2,"98,124",6.6
2,Alaska,1976,3,"236,000","159,057",67.4,"147,838",62.6,"11,219",7.1
4,Arizona,1976,3,"1,631,000","971,212",59.5,"871,704",53.4,"99,508",10.2
5,Arkansas,1976,3,"1,539,000","881,774",57.3,"816,544",53.1,"65,230",7.4
6,California,1976,3,"15,694,000","9,773,412",62.3,"8,890,359",56.6,"883,053",9
37,Los Angeles County,1976,3,"5,292,000","3,374,227",63.8,"3,078,696",58.2,"295,531",8.8
8,Colorado,1976,3,"1,841,000","1,231,451",66.9,"1,164,312",63.2,"67,139",5.5
9,Connecticut,1976,3,"2,253,000","1,443,470",64.1,"1,302,432",57.8,"141,038",9.8
10,Delaware,1976,3,"418,000","262,578",62.8,"242,357",58,"20,221",7.7
11,District of Columbia,1976,3,"519,000","339,519",65.4,"309,117",59.6,"30,402",9
12,Florida,1976,3,"6,452,000","3,591,034",55.7,"3,248,919",50.4,"342,115",9.5
13,Georgia,1976,3,"3,534,000","2,249,498",63.7,"2,061,312",58.3,"188,186",8.4
15,Hawaii,1976,3,"586,000","409,272",69.8,"367,411",62.7,"41,861",10.2
16,Idaho,1976,3,"583,000","365,939",62.8,"345,977",59.3,"19,962",5.5
17,Illinois,1976,3,"8,146,000","5,131,012",63,"4,789,053",58.8,"341,959",6.7
18,Indiana,1976,3,"3,797,000","2,417,453",63.7,"2,260,158",59.5,"157,295",6.5
19,Iowa,1976,3,"2,072,000","1,324,421",63.9,"1,268,785",61.2,"55,636",4.2
20,Kansas,1976,3,"1,640,000","1,060,804",64.7,"1,015,442",61.9,"45,362",4.3
21,Kentucky,1976,3,"2,470,000","1,488,452",60.3,"1,406,014",56.9,"82,438",5.5
22,Louisiana,1976,3,"2,685,000","1,512,905",56.3,"1,417,259",52.8,"95,646",6.3
23,Maine,1976,3,"767,000","475,736",62,"434,148",56.6,"41,588",8.7
24,Maryland,1976,3,"2,962,000","1,904,121",64.3,"1,781,163",60.1,"122,958",6.5
25,Massachusetts,1976,3,"4,201,000","2,715,972",64.7,"2,435,141",58,"280,831",10.3
26,Michigan,1976,3,"6,430,000","3,959,220",61.6,"3,568,620",55.5,"390,600",9.9
27,Minnesota,1976,3,"2,797,000","1,831,729",65.5,"1,722,573",61.6,"109,156",6
28,Mississippi,1976,3,"1,647,000","960,457",58.3,"897,597",54.5,"62,860",6.5
29,Missouri,1976,3,"3,473,000","2,088,504",60.1,"1,963,684",56.5,"124,820",6
30,Montana,1976,3,"533,000","327,126",61.4,"308,028",57.8,"19,098",5.8
31,Nebraska,1976,3,"1,097,000","715,409",65.2,"692,046",63.1,"23,363",3.3
32,Nevada,1976,3,"456,000","322,238",70.7,"293,314",64.3,"28,924",9
33,New Hampshire,1976,3,"596,000","391,401",65.7,"364,740",61.2,"26,661",6.8
34,New Jersey,1976,3,"5,367,000","3,282,161",61.2,"2,946,191",54.9,"335,970",10.2
35,New Mexico,1976,3,"798,000","475,046",59.5,"432,612",54.2,"42,434",8.9
36,New York,1976,3,"13,207,000","7,687,905",58.2,"6,901,768",52.3,"786,137",10.2
51000,New York city,1976,3,"5,690,000","3,112,593",54.7,"2,768,803",48.7,"343,790",11
37,North Carolina,1976,3,"3,912,000","2,596,417",66.4,"2,429,291",62.1,"167,126",6.4
38,North Dakota,1976,3,"444,000","275,558",62.1,"266,400",60,"9,158",3.3
39,Ohio,1976,3,"7,711,000","4,757,060",61.7,"4,371,753",56.7,"385,307",8.1
40,Oklahoma,1976,3,"2,007,000","1,180,361",58.8,"1,110,381",55.3,"69,980",5.9
41,Oregon,1976,3,"1,724,000","1,072,704",62.2,"969,477",56.2,"103,227",9.6
42,Pennsylvania,1976,3,"8,786,000","5,109,349",58.2,"4,695,745",53.4,"413,604",8.1
44,Rhode Island,1976,3,"693,000","435,047",62.8,"399,706",57.7,"35,341",8.1
45,South Carolina,1976,3,"1,992,000","1,291,678",64.8,"1,194,981",60,"96,697",7.5
46,South Dakota,1976,3,"478,000","308,825",64.6,"299,113",62.6,"9,712",3.1
47,Tennessee,1976,3,"3,091,000","1,817,285",58.8,"1,708,974",55.3,"108,311",6
48,Texas,1976,3,"8,870,000","5,628,251",63.5,"5,297,427",59.7,"330,824",5.9
49,Utah,1976,3,"828,000","519,051",62.7,"488,839",59,"30,212",5.8
50,Vermont,1976,3,"341,000","213,647",62.7,"195,016",57.2,"18,631",8.7
51,Virginia,1976,3,"3,551,000","2,328,197",65.6,"2,191,444",61.7,"136,753",5.9
53,Washington,1976,3,"2,611,000","1,582,698",60.6,"1,445,131",55.3,"137,567",8.7
54,West Virginia,1976,3,"1,358,000","702,969",51.8,"647,588",47.7,"55,381",7.9
55,Wisconsin,1976,3,"3,252,000","2,124,097",65.3,"2,002,425",61.6,"121,672",5.7
56,Wyoming,1976,3,"272,000","175,749",64.6,"168,452",61.9,"7,297",4.2
1,Alabama,1976,4,"2,620,000","1,489,832",56.9,"1,393,371",53.2,"96,461",6.5
2,Alaska,1976,4,"237,000","160,511",67.7,"149,242",63,"11,269",7
4,Arizona,1976,4,"1,636,000","975,102",59.6,"877,610",53.6,"97,492",10
5,Arkansas,1976,4,"1,541,000","883,135",57.3,"818,709",53.1,"64,426",7.3
6,California,1976,4,"15,731,000","9,801,872",62.3,"8,923,742",56.7,"878,130",9
37,Los Angeles County,1976,4,"5,302,000","3,379,904",63.7,"3,086,733",58.2,"293,171",8.7
8,Colorado,1976,4,"1,846,000","1,231,012",66.7,"1,163,763",63,"67,249",5.5
9,Connecticut,1976,4,"2,255,000","1,447,888",64.2,"1,307,981",58,"139,907",9.7
10,Delaware,1976,4,"419,000","263,111",62.8,"241,841",57.7,"21,270",8.1
11,District of Columbia,1976,4,"518,000","338,321",65.3,"308,448",59.5,"29,873",8.8
12,Florida,1976,4,"6,468,000","3,593,693",55.6,"3,259,278",50.4,"334,415",9.3
13,Georgia,1976,4,"3,540,000","2,254,806",63.7,"2,069,536",58.5,"185,270",8.2
15,Hawaii,1976,4,"588,000","410,058",69.7,"368,808",62.7,"41,250",10.1
16,Idaho,1976,4,"585,000","367,820",62.9,"347,482",59.4,"20,338",5.5
17,Illinois,1976,4,"8,155,000","5,135,315",63,"4,797,537",58.8,"337,778",6.6
18,Indiana,1976,4,"3,801,000","2,421,569",63.7,"2,270,770",59.7,"150,799",6.2
19,Iowa,1976,4,"2,075,000","1,328,017",64,"1,273,460",61.4,"54,557",4.1
20,Kansas,1976,4,"1,642,000","1,063,812",64.8,"1,018,476",62,"45,336",4.3
21,Kentucky,1976,4,"2,475,000","1,489,381",60.2,"1,407,538",56.9,"81,843",5.5
22,Louisiana,1976,4,"2,692,000","1,517,270",56.4,"1,419,228",52.7,"98,042",6.5
23,Maine,1976,4,"769,000","476,176",61.9,"435,005",56.6,"41,171",8.6
24,Maryland,1976,4,"2,966,000","1,906,012",64.3,"1,781,932",60.1,"124,080",6.5
25,Massachusetts,1976,4,"4,204,000","2,718,273",64.7,"2,443,334",58.1,"274,939",10.1
26,Michigan,1976,4,"6,436,000","3,971,548",61.7,"3,584,995",55.7,"386,553",9.7
27,Minnesota,1976,4,"2,802,000","1,835,811",65.5,"1,729,658",61.7,"106,153",5.8
28,Mississippi,1976,4,"1,650,000","963,604",58.4,"902,295",54.7,"61,309",6.4
29,Missouri,1976,4,"3,477,000","2,098,492",60.4,"1,971,989",56.7,"126,503",6
30,Montana,1976,4,"534,000","327,255",61.3,"308,089",57.7,"19,166",5.9
31,Nebraska,1976,4,"1,098,000","715,882",65.2,"693,068",63.1,"22,814",3.2
32,Nevada,1976,4,"458,000","324,271",70.8,"295,478",64.5,"28,793",8.9
33,New Hampshire,1976,4,"598,000","393,046",65.7,"366,604",61.3,"26,442",6.7
34,New Jersey,1976,4,"5,372,000","3,292,961",61.3,"2,954,124",55,"338,837",10.3
35,New Mexico,1976,4,"801,000","476,938",59.5,"434,258",54.2,"42,680",8.9
36,New York,1976,4,"13,213,000","7,693,233",58.2,"6,911,134",52.3,"782,099",10.2
51000,New York city,1976,4,"5,689,000","3,111,581",54.7,"2,767,859",48.7,"343,722",11
37,North Carolina,1976,4,"3,919,000","2,600,143",66.3,"2,438,108",62.2,"162,035",6.2
38,North Dakota,1976,4,"444,000","276,497",62.3,"267,027",60.1,"9,470",3.4
39,Ohio,1976,4,"7,716,000","4,756,345",61.6,"4,376,437",56.7,"379,908",8
40,Oklahoma,1976,4,"2,011,000","1,181,826",58.8,"1,112,611",55.3,"69,215",5.9
41,Oregon,1976,4,"1,728,000","1,074,497",62.2,"973,784",56.4,"100,713",9.4
42,Pennsylvania,1976,4,"8,792,000","5,116,342",58.2,"4,700,776",53.5,"415,566",8.1
44,Rhode Island,1976,4,"693,000","435,638",62.9,"400,386",57.8,"35,252",8.1
45,South Carolina,1976,4,"1,996,000","1,290,968",64.7,"1,197,209",60,"93,759",7.3
46,South Dakota,1976,4,"479,000","308,840",64.5,"299,350",62.5,"9,490",3.1
47,Tennessee,1976,4,"3,097,000","1,827,389",59,"1,720,001",55.5,"107,388",5.9
48,Texas,1976,4,"8,896,000","5,658,848",63.6,"5,326,151",59.9,"332,697",5.9
49,Utah,1976,4,"830,000","520,979",62.8,"491,201",59.2,"29,778",5.7
50,Vermont,1976,4,"341,000","214,432",62.9,"195,841",57.4,"18,591",8.7
51,Virginia,1976,4,"3,559,000","2,331,464",65.5,"2,195,912",61.7,"135,552",5.8
53,Washington,1976,4,"2,617,000","1,588,598",60.7,"1,450,600",55.4,"137,998",8.7
54,West Virginia,1976,4,"1,360,000","701,800",51.6,"646,663",47.5,"55,137",7.9
55,Wisconsin,1976,4,"3,256,000","2,128,682",65.4,"2,009,467",61.7,"119,215",5.6
56,Wyoming,1976,4,"273,000","176,901",64.8,"169,630",62.1,"7,271",4.1
1,Alabama,1976,5,"2,626,000","1,490,813",56.8,"1,394,905",53.1,"95,908",6.4
2,Alaska,1976,5,"239,000","162,118",67.8,"150,703",63.1,"11,415",7
4,Arizona,1976,5,"1,642,000","979,450",59.6,"883,833",53.8,"95,617",9.8
5,Arkansas,1976,5,"1,542,000","885,207",57.4,"821,695",53.3,"63,512",7.2
6,California,1976,5,"15,768,000","9,835,843",62.4,"8,958,779",56.8,"877,064",8.9
37,Los Angeles County,1976,5,"5,311,000","3,386,788",63.8,"3,094,607",58.3,"292,181",8.6
8,Colorado,1976,5,"1,850,000","1,231,082",66.5,"1,163,095",62.9,"67,987",5.5
9,Connecticut,1976,5,"2,257,000","1,453,239",64.4,"1,314,255",58.2,"138,984",9.6
10,Delaware,1976,5,"420,000","263,714",62.8,"241,327",57.5,"22,387",8.5
11,District of Columbia,1976,5,"518,000","336,976",65.1,"307,549",59.4,"29,427",8.7
12,Florida,1976,5,"6,483,000","3,596,954",55.5,"3,269,820",50.4,"327,134",9.1
13,Georgia,1976,5,"3,547,000","2,260,891",63.7,"2,078,324",58.6,"182,567",8.1
15,Hawaii,1976,5,"590,000","410,604",69.6,"370,183",62.7,"40,421",9.8
16,Idaho,1976,5,"587,000","369,868",63,"349,178",59.5,"20,690",5.6
17,Illinois,1976,5,"8,164,000","5,141,494",63,"4,805,499",58.9,"335,995",6.5
18,Indiana,1976,5,"3,806,000","2,426,841",63.8,"2,282,161",60,"144,680",6
19,Iowa,1976,5,"2,078,000","1,331,926",64.1,"1,278,529",61.5,"53,397",4
20,Kansas,1976,5,"1,644,000","1,067,097",64.9,"1,021,803",62.2,"45,294",4.2
21,Kentucky,1976,5,"2,480,000","1,491,022",60.1,"1,409,664",56.8,"81,358",5.5
22,Louisiana,1976,5,"2,699,000","1,522,541",56.4,"1,421,644",52.7,"100,897",6.6
23,Maine,1976,5,"771,000","476,568",61.8,"435,798",56.5,"40,770",8.6
24,Maryland,1976,5,"2,971,000","1,908,972",64.3,"1,783,312",60,"125,660",6.6
25,Massachusetts,1976,5,"4,207,000","2,720,252",64.7,"2,451,670",58.3,"268,582",9.9
26,Michigan,1976,5,"6,442,000","3,983,987",61.8,"3,602,889",55.9,"381,098",9.6
27,Minnesota,1976,5,"2,806,000","1,840,699",65.6,"1,736,839",61.9,"103,860",5.6
28,Mississippi,1976,5,"1,653,000","966,904",58.5,"906,614",54.8,"60,290",6.2
29,Missouri,1976,5,"3,481,000","2,109,676",60.6,"1,981,306",56.9,"128,370",6.1
30,Montana,1976,5,"535,000","327,415",61.2,"308,130",57.6,"19,285",5.9
31,Nebraska,1976,5,"1,100,000","716,569",65.1,"694,143",63.1,"22,426",3.1
32,Nevada,1976,5,"460,000","326,448",71,"297,804",64.7,"28,644",8.8
33,New Hampshire,1976,5,"599,000","394,878",65.9,"368,686",61.6,"26,192",6.6
34,New Jersey,1976,5,"5,376,000","3,303,271",61.4,"2,961,615",55.1,"341,656",10.3
35,New Mexico,1976,5,"804,000","478,749",59.5,"436,010",54.2,"42,739",8.9
36,New York,1976,5,"13,219,000","7,702,071",58.3,"6,920,620",52.4,"781,451",10.1
51000,New York city,1976,5,"5,687,000","3,112,014",54.7,"2,767,219",48.7,"344,795",11.1
37,North Carolina,1976,5,"3,926,000","2,604,676",66.3,"2,447,186",62.3,"157,490",6
38,North Dakota,1976,5,"445,000","277,522",62.4,"267,705",60.2,"9,817",3.5
39,Ohio,1976,5,"7,721,000","4,754,402",61.6,"4,380,965",56.7,"373,437",7.9
40,Oklahoma,1976,5,"2,015,000","1,183,624",58.7,"1,115,001",55.3,"68,623",5.8
41,Oregon,1976,5,"1,732,000","1,077,254",62.2,"978,457",56.5,"98,797",9.2
42,Pennsylvania,1976,5,"8,798,000","5,122,911",58.2,"4,707,753",53.5,"415,158",8.1
44,Rhode Island,1976,5,"694,000","436,157",62.8,"401,004",57.8,"35,153",8.1
45,South Carolina,1976,5,"2,001,000","1,291,079",64.5,"1,199,543",59.9,"91,536",7.1
46,South Dakota,1976,5,"480,000","308,860",64.3,"299,510",62.4,"9,350",3
47,Tennessee,1976,5,"3,103,000","1,839,204",59.3,"1,732,074",55.8,"107,130",5.8
48,Texas,1976,5,"8,922,000","5,689,513",63.8,"5,355,534",60,"333,979",5.9
49,Utah,1976,5,"833,000","523,259",62.8,"493,849",59.3,"29,410",5.6
50,Vermont,1976,5,"342,000","215,274",62.9,"196,775",57.5,"18,499",8.6
51,Virginia,1976,5,"3,567,000","2,335,198",65.5,"2,200,093",61.7,"135,105",5.8
53,Washington,1976,5,"2,623,000","1,595,955",60.8,"1,456,952",55.5,"139,003",8.7
54,West Virginia,1976,5,"1,363,000","700,262",51.4,"645,753",47.4,"54,509",7.8
55,Wisconsin,1976,5,"3,260,000","2,134,109",65.5,"2,017,002",61.9,"117,107",5.5
56,Wyoming,1976,5,"274,000","178,142",65,"170,906",62.4,"7,236",4.1
1,Alabama,1976,6,"2,631,000","1,493,479",56.8,"1,396,699",53.1,"96,780",6.5
2,Alaska,1976,6,"240,000","163,806",68.3,"152,102",63.4,"11,704",7.1
4,Arizona,1976,6,"1,647,000","983,915",59.7,"889,830",54,"94,085",9.6
5,Arkansas,1976,6,"1,544,000","888,021",57.5,"825,580",53.5,"62,441",7
6,California,1976,6,"15,804,000","9,873,969",62.5,"8,992,363",56.9,"881,606",8.9
37,Los Angeles County,1976,6,"5,321,000","3,394,206",63.8,"3,101,030",58.3,"293,176",8.6
8,Colorado,1976,6,"1,855,000","1,232,248",66.4,"1,162,827",62.7,"69,421",5.6
9,Connecticut,1976,6,"2,259,000","1,458,818",64.6,"1,320,798",58.5,"138,020",9.5
10,Delaware,1976,6,"420,000","264,363",62.9,"240,887",57.4,"23,476",8.9
11,District of Columbia,1976,6,"517,000","335,509",64.9,"306,327",59.3,"29,182",8.7
12,Florida,1976,6,"6,499,000","3,600,471",55.4,"3,279,377",50.5,"321,094",8.9
13,Georgia,1976,6,"3,553,000","2,267,756",63.8,"2,087,176",58.7,"180,580",8
15,Hawaii,1976,6,"591,000","410,796",69.5,"371,390",62.8,"39,406",9.6
16,Idaho,1976,6,"588,000","372,016",63.3,"351,054",59.7,"20,962",5.6
17,Illinois,1976,6,"8,174,000","5,148,231",63,"4,811,630",58.9,"336,601",6.5
18,Indiana,1976,6,"3,810,000","2,433,608",63.9,"2,293,365",60.2,"140,243",5.8
19,Iowa,1976,6,"2,081,000","1,335,924",64.2,"1,283,592",61.7,"52,332",3.9
20,Kansas,1976,6,"1,647,000","1,070,401",65,"1,025,285",62.3,"45,116",4.2
21,Kentucky,1976,6,"2,485,000","1,493,024",60.1,"1,412,162",56.8,"80,862",5.4
22,Louisiana,1976,6,"2,705,000","1,528,357",56.5,"1,424,413",52.7,"103,944",6.8
23,Maine,1976,6,"772,000","476,858",61.8,"436,395",56.5,"40,463",8.5
24,Maryland,1976,6,"2,975,000","1,912,916",64.3,"1,785,569",60,"127,347",6.7
25,Massachusetts,1976,6,"4,210,000","2,721,845",64.7,"2,459,700",58.4,"262,145",9.6
26,Michigan,1976,6,"6,448,000","3,995,511",62,"3,620,901",56.2,"374,610",9.4
27,Minnesota,1976,6,"2,811,000","1,846,546",65.7,"1,743,621",62,"102,925",5.6
28,Mississippi,1976,6,"1,656,000","970,097",58.6,"910,051",55,"60,046",6.2
29,Missouri,1976,6,"3,485,000","2,121,388",60.9,"1,991,036",57.1,"130,352",6.1
30,Montana,1976,6,"536,000","327,782",61.2,"308,352",57.5,"19,430",5.9
31,Nebraska,1976,6,"1,101,000","717,561",65.2,"695,307",63.2,"22,254",3.1
32,Nevada,1976,6,"462,000","328,613",71.1,"300,080",65,"28,533",8.7
33,New Hampshire,1976,6,"601,000","396,844",66,"370,933",61.7,"25,911",6.5
34,New Jersey,1976,6,"5,381,000","3,311,921",61.5,"2,967,886",55.2,"344,035",10.4
35,New Mexico,1976,6,"807,000","480,555",59.5,"437,841",54.3,"42,714",8.9
36,New York,1976,6,"13,224,000","7,711,288",58.3,"6,927,780",52.4,"783,508",10.2
